newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  9 729.026 -0.00525909 -1.30538e-13
  10 729.026 -0.00525909 -1.37263e-13
  11 729.026 -0.00525909 5.01437e-14
  12 729.026 -0.00525909 -2.19927e-14
</Section>

newXOutput 34

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 749.835 -0.00524812 8.36513e-14
  2 749.835 -0.00524812 4.31092e-14
  3 749.835 -0.00524812 3.69049e-14
  4 749.835 -0.00524812 -1.74086e-15
  5 749.835 -0.00524812 5.74429e-14
  6 749.835 -0.00524812 4.55580e-14
  7 749.835 -0.00524812 -1.33669e-15
  8 749.835 -0.00524812 -2.25237e-14
  9 749.835 -0.00524812 -7.14634e-14
  10 749.835 -0.00524812 -6.90712e-14
  11 749.835 -0.00524812 -9.39305e-14
  12 749.835 -0.00524812 -2.47996e-13
</Section>

newXOutput 35

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 770.533 -0.00523720 6.96049e-14
  2 770.533 -0.00523720 2.25445e-14
  3 770.533 -0.00523720 -1.49863e-14
  4 770.533 -0.00523720 -1.55885e-14
  5 770.533 -0.00523720 -9.46455e-14
  6 770.533 -0.00523720 -9.45197e-14
  7 770.533 -0.00523720 2.32454e-14
  8 770.533 -0.00523720 -5.60611e-15
  9 770.533 -0.00523720 1.06636e-13
  10 770.533 -0.00523720 8.96940e-14
  11 770.533 -0.00523720 -2.00816e-13
  12 770.533 -0.00523720 -9.42750e-14
</Section>

newXOutput 36

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 791.122 -0.00522632 4.21110e-14
  2 791.122 -0.00522632 1.16236e-14
  3 791.122 -0.00522632 1.67524e-14
  4 791.122 -0.00522632 1.94035e-14
  5 791.122 -0.00522632 -8.63409e-14
  6 791.122 -0.00522632 -8.55552e-14
  7 791.122 -0.00522632 -2.17962e-15
  8 791.122 -0.00522632 -3.02815e-14
  9 791.122 -0.00522632 -3.77457e-13
  10 791.122 -0.00522632 -3.47803e-13
  11 791.122 -0.00522632 -6.95459e-14
  12 791.122 -0.00522632 -7.36737e-14
</Section>

newXOutput 37

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 811.601 -0.00521549 5.40184e-14
  2 811.601 -0.00521549 3.10818e-14
  3 811.601 -0.00521549 2.14500e-15
  4 811.601 -0.00521549 1.37493e-14
  5 811.601 -0.00521549 4.04261e-14
  6 811.601 -0.00521549 4.05463e-14
  7 811.601 -0.00521549 1.55435e-13
  8 811.601 -0.00521549 1.51012e-13
  9 811.601 -0.00521549 -2.38127e-13
  10 811.601 -0.00521549 -1.10645e-13
  11 811.601 -0.00521549 -1.08201e-13
  12 811.601 -0.00521549 2.44125e-14
</Section>

newXOutput 38

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 831.972 -0.00520470 7.27046e-14
  2 831.972 -0.00520470 4.81637e-14
  3 831.972 -0.00520470 -8.39029e-15
