newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  16 531.718 0.00000 9.37612e-14
</Section>

newXOutput 19

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 563.168 0.00000 -3.02688e-14
  2 563.168 0.00000 -3.80508e-14
  3 563.168 0.00000 2.19926e-15
  4 563.168 0.00000 -7.78144e-15
  5 563.168 0.00000 6.68974e-15
  6 563.168 0.00000 -1.03052e-14
  7 563.168 0.00000 -1.71129e-14
  8 563.168 0.00000 -4.23009e-15
  9 563.168 0.00000 2.20586e-14
  10 563.168 0.00000 1.76894e-14
  11 563.168 0.00000 1.01751e-13
  12 563.168 0.00000 7.08472e-14
  13 563.168 0.00000 9.23663e-14
  14 563.168 0.00000 4.10310e-14
  15 563.168 0.00000 1.16663e-13
  16 563.168 0.00000 1.43373e-14
</Section>

newXOutput 20

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 594.637 0.00000 9.04675e-15
  2 594.637 0.00000 -4.98788e-15
  3 594.637 0.00000 1.22809e-14
  4 594.637 0.00000 4.01813e-15
  5 594.637 0.00000 2.09485e-14
  6 594.637 0.00000 4.45953e-14
  7 594.637 0.00000 1.41195e-14
  8 594.637 0.00000 3.37881e-14
  9 594.637 0.00000 6.93807e-14
  10 594.637 0.00000 4.66062e-14
  11 594.637 0.00000 5.72650e-14
  12 594.637 0.00000 3.34722e-14
  13 594.637 0.00000 3.75753e-14
  14 594.637 0.00000 -8.47165e-14
  15 594.637 0.00000 4.18459e-15
  16 594.637 0.00000 -1.09564e-13
</Section>

newXOutput 21

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 626.126 0.00000 1.52667e-14
  2 626.126 0.00000 8.23382e-15
  3 626.126 0.00000 1.79032e-14
  4 626.126 0.00000 9.15620e-15
  5 626.126 0.00000 1.55068e-14
  6 626.126 0.00000 8.71985e-15
  7 626.126 0.00000 3.25415e-14
  8 626.126 0.00000 3.86230e-14
  9 626.126 0.00000 8.72117e-15
  10 626.126 0.00000 7.67708e-16
  11 626.126 0.00000 3.05888e-15
  12 626.126 0.00000 1.71172e-14
  13 626.126 0.00000 1.20295e-13
  14 626.126 0.00000 1.82339e-13
  15 626.126 0.00000 -1.03146e-14
  16 626.126 0.00000 9.56155e-14
</Section>

newXOutput 22

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 657.634 0.00000 2.21051e-14
  2 657.634 0.00000 1.02045e-14
  3 657.634 0.00000 -5.43849e-15
  4 657.634 0.00000 -1.99805e-14
  5 657.634 0.00000 -7.04807e-15
  6 657.634 0.00000 -8.34995e-15
  7 657.634 0.00000 -4.55233e-14
  8 657.634 0.00000 -3.62988e-14
  9 657.634 0.00000 -1.44729e-14
  10 657.634 0.00000 -3.69389e-14
  11 657.634 0.00000 -1.09810e-13
  12 657.634 0.00000 -3.96682e-14
  13 657.634 0.00000 -1.32582e-13
  14 657.634 0.00000 -7.30917e-14
  15 657.634 0.00000 -1.43160e-13
  16 657.634 0.00000 -6.07964e-14
</Section>

newXOutput 23

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 689.162 0.00000 -1.73691e-14
  2 689.162 0.00000 -2.20744e-14
  3 689.162 0.00000 -3.08831e-16
  4 689.162 0.00000 -9.40600e-15
  5 689.162 0.00000 1.86414e-14
  6 689.162 0.00000 2.51427e-14
  7 689.162 0.00000 -5.54588e-15
  8 689.162 0.00000 7.77175e-15
  9 689.162 0.00000 -1.61671e-14
  10 689.162 0.00000 -7.64493e-15
  11 689.162 0.00000 5.68127e-15
  12 689.162 0.00000 -4.03509e-14
  13 689.162 0.00000 3.43866e-14
  14 689.162 0.00000 -2.29448e-14
  15 689.162 0.00000 8.38347e-14
  16 689.162 0.00000 -5.02678e-14
</Section>

newXOutput 24

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 720.709 0.00000 9.05713e-15
  2 720.709 0.00000 -1.37483e-14
  3 720.709 0.00000 9.45626e-15
  4 720.709 0.00000 -5.63168e-15
  5 720.709 0.00000 2.39842e-14
  6 720.709 0.00000 2.90014e-14
  7 720.709 0.00000 -6.28698e-14
  8 720.709 0.00000 -5.04662e-14
  9 720.709 0.00000 -4.35104e-14
  10 720.709 0.00000 -3.39219e-14
  11 720.709 0.00000 -1.72862e-14
  12 720.709 0.00000 -1.19164e-14
  13 720.709 0.00000 1.00106e-13
  14 720.709 0.00000 3.50955e-14
  15 720.709 0.00000 7.95109e-14
  16 720.709 0.00000 5.31846e-14
</Section>

newXOutput 25

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 752.276 0.00000 1.16360e-14
  2 752.276 0.00000 -3.55968e-14
  3 752.276 0.00000 6.86630e-15
  4 752.276 0.00000 -2.08475e-14
  5 752.276 0.00000 -1.59406e-14
  6 752.276 0.00000 1.69352e-14
  7 752.276 0.00000 -2.31436e-14
  8 752.276 0.00000 2.01273e-14
  9 752.276 0.00000 -1.14238e-14
  10 752.276 0.00000 -3.54916e-14
  11 752.276 0.00000 1.17501e-13
  12 752.276 0.00000 -3.34109e-14
  13 752.276 0.00000 -4.80744e-14
  14 752.276 0.00000 -9.77073e-14
  15 752.276 0.00000 -1.07683e-13
  16 752.276 0.00000 -5.47721e-14
</Section>

newXOutput 26

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 783.862 0.00000 5.30289e-14
  2 783.862 0.00000 8.86085e-15
  3 783.862 0.00000 3.68211e-14
  4 783.862 0.00000 1.57027e-14
  5 783.862 0.00000 3.97881e-14
  6 783.862 0.00000 2.73839e-14
  7 783.862 0.00000 7.48285e-14
  8 783.862 0.00000 6.70454e-14
  9 783.862 0.00000 -2.88022e-15
  10 783.862 0.00000 5.68799e-14
  11 783.862 0.00000 1.14659e-13
  12 783.862 0.00000 6.96481e-14
  13 783.862 0.00000 4.45436e-14
  14 783.862 0.00000 6.25827e-14
  15 783.862 0.00000 5.56559e-14
  16 783.862 0.00000 1.34597e-13
</Section>

newXOutput 27

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 815.469 0.00000 -4.27811e-14
  2 815.469 0.00000 1.24586e-14
  3 815.469 0.00000 -6.12642e-14
  4 815.469 0.00000 -8.77451e-16
  5 815.469 0.00000 -2.03204e-14
  6 815.469 0.00000 -2.11766e-14
  7 815.469 0.00000 -8.65372e-15
  8 815.469 0.00000 -7.44470e-14
  9 815.469 0.00000 -1.11800e-13
  10 815.469 0.00000 -1.51410e-13
  11 815.469 0.00000 4.41368e-14
  12 815.469 0.00000 1.52531e-13
  13 815.469 0.00000 -6.94502e-14
  14 815.469 0.00000 -1.00846e-13
  15 815.469 0.00000 -5.17902e-14
  16 815.469 0.00000 -7.30016e-14
</Section>

newXOutput 28

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 847.095 0.00000 -1.10474e-13
  2 847.095 0.00000 -5.34705e-14
  3 847.095 0.00000 -6.37255e-14
  4 847.095 0.00000 -2.75971e-14
  5 847.095 0.00000 1.19589e-13
  6 847.095 0.00000 1.14003e-13
  7 847.095 0.00000 2.36327e-14
  8 847.095 0.00000 2.37997e-15
  9 847.095 0.00000 1.36388e-13
  10 847.095 0.00000 1.65703e-13
  11 847.095 0.00000 -1.03261e-14
  12 847.095 0.00000 4.45695e-14
  13 847.095 0.00000 -1.12981e-13
  14 847.095 0.00000 -4.54476e-14
  15 847.095 0.00000 -2.55049e-14
  16 847.095 0.00000 5.74131e-14
</Section>

newXOutput 29

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 878.740 0.00000 -1.11242e-14
  2 878.740 0.00000 4.76736e-14
  3 878.740 0.00000 5.38387e-15
  4 878.740 0.00000 1.49025e-14
  5 878.740 0.00000 4.66885e-15
  6 878.740 0.00000 -1.40226e-14
  7 878.740 0.00000 2.70147e-14
  8 878.740 0.00000 2.56634e-14
  9 878.740 0.00000 6.12268e-15
  10 878.740 0.00000 2.72168e-14
  11 878.740 0.00000 6.12420e-14
  12 878.740 0.00000 1.12684e-13
