newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  10 328.929 -0.00854595 4.45864e-15
  11 328.929 -0.00854595 4.00100e-14
  12 328.929 -0.00854595 2.68326e-14
  13 328.929 -0.00854595 5.39285e-14
  14 328.929 -0.00854595 4.11370e-14
  15 328.929 -0.00854595 3.20089e-14
  16 328.929 -0.00854595 2.05575e-15
</Section>

newXOutput 13

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 357.615 -0.00852289 5.33156e-16
  2 357.615 -0.00852289 3.37858e-15
  3 357.615 -0.00852289 2.24203e-14
  4 357.615 -0.00852289 2.68435e-14
  5 357.615 -0.00852289 1.57031e-14
  6 357.615 -0.00852289 1.94371e-14
  7 357.615 -0.00852289 6.17537e-15
  8 357.615 -0.00852289 8.75515e-15
  9 357.615 -0.00852289 -1.01739e-14
  10 357.615 -0.00852289 -8.53872e-16
  11 357.615 -0.00852289 1.06534e-14
  12 357.615 -0.00852289 5.14026e-14
  13 357.615 -0.00852289 -5.28520e-14
  14 357.615 -0.00852289 -1.85861e-16
  15 357.615 -0.00852289 -5.81984e-14
  16 357.615 -0.00852289 -3.55107e-14
</Section>

newXOutput 14

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 386.105 -0.00849994 -2.84715e-14
  2 386.105 -0.00849994 -3.57319e-14
  3 386.105 -0.00849994 1.18302e-15
  4 386.105 -0.00849994 -5.40419e-15
  5 386.105 -0.00849994 -1.21383e-14
  6 386.105 -0.00849994 -1.27378e-14
  7 386.105 -0.00849994 -2.18276e-14
  8 386.105 -0.00849994 -1.56327e-14
  9 386.105 -0.00849994 -1.71257e-14
  10 386.105 -0.00849994 -2.21537e-14
  11 386.105 -0.00849994 -2.40190e-15
  12 386.105 -0.00849994 1.90865e-14
  13 386.105 -0.00849994 -2.60532e-14
  14 386.105 -0.00849994 -1.22017e-14
  15 386.105 -0.00849994 -9.60182e-14
  16 386.105 -0.00849994 -7.32276e-14
</Section>

newXOutput 15

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 414.401 -0.00847712 -4.21910e-15
  2 414.401 -0.00847712 -1.44387e-14
  3 414.401 -0.00847712 -5.69508e-16
  4 414.401 -0.00847712 -4.45998e-15
  5 414.401 -0.00847712 -3.26800e-14
  6 414.401 -0.00847712 -1.59064e-14
  7 414.401 -0.00847712 -4.78316e-14
  8 414.401 -0.00847712 -4.04258e-14
  9 414.401 -0.00847712 -1.79778e-14
  10 414.401 -0.00847712 -2.91940e-14
  11 414.401 -0.00847712 1.71034e-14
  12 414.401 -0.00847712 2.42273e-14
  13 414.401 -0.00847712 1.97784e-14
  14 414.401 -0.00847712 -9.81116e-15
  15 414.401 -0.00847712 -1.86466e-14
  16 414.401 -0.00847712 -1.21477e-14
</Section>

newXOutput 16

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 442.506 -0.00845441 3.53452e-14
  2 442.506 -0.00845441 2.32184e-14
  3 442.506 -0.00845441 -8.34543e-14
  4 442.506 -0.00845441 7.79763e-14
  5 442.506 -0.00845441 -5.27942e-14
  6 442.506 -0.00845441 3.03897e-14
  7 442.506 -0.00845441 1.00880e-13
  8 442.506 -0.00845441 -7.50944e-14
  9 442.506 -0.00845441 7.03286e-14
  10 442.506 -0.00845441 -1.66707e-14
  11 442.506 -0.00845441 5.71572e-15
  12 442.506 -0.00845441 2.47559e-14
  13 442.506 -0.00845441 -2.70017e-14
  14 442.506 -0.00845441 -2.18209e-14
  15 442.506 -0.00845441 1.73407e-14
  16 442.506 -0.00845441 5.62157e-14
</Section>

newXOutput 17

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 470.420 -0.00843181 2.17855e-14
  2 470.420 -0.00843181 6.79030e-14
  3 470.420 -0.00843181 8.45841e-14
  4 470.420 -0.00843181 -3.63569e-14
  5 470.420 -0.00843181 2.36977e-14
  6 470.420 -0.00843181 -4.45150e-14
  7 470.420 -0.00843181 -9.41898e-14
  8 470.420 -0.00843181 2.89902e-14
  9 470.420 -0.00843181 1.68636e-14
  10 470.420 -0.00843181 4.49805e-14
  11 470.420 -0.00843181 5.39676e-14
  12 470.420 -0.00843181 4.20537e-14
  13 470.420 -0.00843181 -4.11599e-14
  14 470.420 -0.00843181 -5.50381e-14
  15 470.420 -0.00843181 -4.98423e-14
  16 470.420 -0.00843181 -5.02996e-14
</Section>

newXOutput 18

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 498.145 -0.00840933 1.53101e-15
  2 498.145 -0.00840933 -3.54335e-15
  3 498.145 -0.00840933 -4.03645e-14
  4 498.145 -0.00840933 2.92003e-14
  5 498.145 -0.00840933 8.14266e-15
  6 498.145 -0.00840933 -1.87426e-14
  7 498.145 -0.00840933 1.12361e-13
  8 498.145 -0.00840933 2.80233e-14
  9 498.145 -0.00840933 6.24374e-14
  10 498.145 -0.00840933 3.70628e-14
  11 498.145 -0.00840933 -4.39823e-14
  12 498.145 -0.00840933 -8.33984e-14
  13 498.145 -0.00840933 4.23976e-14
  14 498.145 -0.00840933 1.16675e-14
  15 498.145 -0.00840933 2.62216e-14
  16 498.145 -0.00840933 1.14537e-13
</Section>

newXOutput 19

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 525.683 -0.00838697 -2.02399e-14
  2 525.683 -0.00838697 -9.64179e-15
  3 525.683 -0.00838697 -1.89126e-14
  4 525.683 -0.00838697 3.60943e-14
  5 525.683 -0.00838697 -3.71489e-15
  6 525.683 -0.00838697 -9.43056e-15
  7 525.683 -0.00838697 5.38096e-14
  8 525.683 -0.00838697 -1.66225e-14
  9 525.683 -0.00838697 2.02213e-14
  10 525.683 -0.00838697 2.02213e-14
  11 525.683 -0.00838697 7.48198e-14
  12 525.683 -0.00838697 7.43908e-14
  13 525.683 -0.00838697 1.33792e-13
  14 525.683 -0.00838697 1.00985e-13
  15 525.683 -0.00838697 1.45719e-13
  16 525.683 -0.00838697 5.73978e-14
</Section>

newXOutput 20

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 553.036 -0.00836471 -5.87104e-14
  2 553.036 -0.00836471 -3.38883e-14
  3 553.036 -0.00836471 -3.46001e-14
  4 553.036 -0.00836471 1.25919e-14
  5 553.036 -0.00836471 -7.67933e-15
  6 553.036 -0.00836471 -3.16731e-14
  7 553.036 -0.00836471 -3.04451e-14
  8 553.036 -0.00836471 -1.06101e-13
  9 553.036 -0.00836471 -5.81642e-15
  10 553.036 -0.00836471 -1.74495e-14
  11 553.036 -0.00836471 1.86135e-14
  12 553.036 -0.00836471 -1.16235e-14
  13 553.036 -0.00836471 3.11289e-14
  14 553.036 -0.00836471 -6.59816e-14
  15 553.036 -0.00836471 -1.03632e-14
  16 553.036 -0.00836471 -9.85182e-14
</Section>

newXOutput 21

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 580.205 -0.00834257 1.70803e-14
  2 580.205 -0.00834257 -1.55440e-13
  3 580.205 -0.00834257 2.00583e-13
  4 580.205 -0.00834257 5.84860e-14
  5 580.205 -0.00834257 -1.58346e-13
  6 580.205 -0.00834257 -9.63782e-14
  7 580.205 -0.00834257 -1.29433e-13
  8 580.205 -0.00834257 -2.25088e-14
  9 580.205 -0.00834257 -5.89336e-15
  10 580.205 -0.00834257 8.96073e-16
  11 580.205 -0.00834257 -2.99852e-14
  12 580.205 -0.00834257 4.14995e-14
  13 580.205 -0.00834257 -2.13375e-14
  14 580.205 -0.00834257 -4.96109e-15
