newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  10 586.498 0.00000 -3.93119e-14
  11 586.498 0.00000 -4.36985e-14
  12 586.498 0.00000 2.24338e-14
</Section>

newXOutput 16

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 627.689 0.00000 3.04061e-14
  2 627.689 0.00000 2.11415e-15
  3 627.689 0.00000 -4.45744e-14
  4 627.689 0.00000 -3.78215e-14
  5 627.689 0.00000 -2.74559e-14
  6 627.689 0.00000 -1.25059e-14
  7 627.689 0.00000 1.55468e-13
  8 627.689 0.00000 1.44712e-13
  9 627.689 0.00000 1.60818e-14
  10 627.689 0.00000 6.45357e-14
  11 627.689 0.00000 8.04023e-15
  12 627.689 0.00000 3.99399e-14
</Section>

newXOutput 17

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 668.790 0.00000 -4.31325e-14
  2 668.790 0.00000 -5.12057e-14
  3 668.790 0.00000 3.07067e-14
  4 668.790 0.00000 1.96059e-14
  5 668.790 0.00000 1.67745e-13
  6 668.790 0.00000 1.61801e-13
  7 668.790 0.00000 -2.71607e-13
  8 668.790 0.00000 -2.33723e-13
  9 668.790 0.00000 -1.56078e-13
  10 668.790 0.00000 -8.82077e-14
  11 668.790 0.00000 -2.73107e-14
  12 668.790 0.00000 -2.06390e-14
</Section>

newXOutput 18

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 709.805 0.00000 1.19860e-14
  2 709.805 0.00000 3.60327e-15
  3 709.805 0.00000 2.23588e-14
  4 709.805 0.00000 8.01462e-15
  5 709.805 0.00000 1.81161e-13
  6 709.805 0.00000 1.78188e-13
  7 709.805 0.00000 -1.12154e-13
  8 709.805 0.00000 -1.23998e-13
  9 709.805 0.00000 1.17208e-13
  10 709.805 0.00000 7.15068e-14
  11 709.805 0.00000 1.69203e-13
  12 709.805 0.00000 1.00222e-13
</Section>

newXOutput 19

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 750.733 0.00000 3.98594e-14
  2 750.733 0.00000 2.99130e-14
  3 750.733 0.00000 7.98378e-15
  4 750.733 0.00000 -5.27799e-15
  5 750.733 0.00000 8.37102e-14
  6 750.733 0.00000 7.27968e-14
  7 750.733 0.00000 -1.64342e-13
  8 750.733 0.00000 -1.56713e-13
  9 750.733 0.00000 8.19846e-14
  10 750.733 0.00000 5.57019e-14
  11 750.733 0.00000 4.83475e-14
  12 750.733 0.00000 1.34726e-14
</Section>

newXOutput 20

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 791.576 0.00000 9.65542e-14
  2 791.576 0.00000 6.74541e-14
  3 791.576 0.00000 -5.15239e-14
  4 791.576 0.00000 -4.72226e-14
  5 791.576 0.00000 -1.85628e-13
  6 791.576 0.00000 -1.69096e-13
  7 791.576 0.00000 1.71743e-13
  8 791.576 0.00000 1.54223e-13
  9 791.576 0.00000 5.93636e-14
  10 791.576 0.00000 7.88523e-14
  11 791.576 0.00000 -1.20696e-13
  12 791.576 0.00000 -1.03416e-13
</Section>

newXOutput 21

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 832.334 0.00000 6.36084e-15
