newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  2 525.417 0.00000 3.33688e-14
  3 525.417 0.00000 -9.18445e-15
  4 525.417 0.00000 7.57609e-15
  5 525.417 0.00000 -4.01788e-14
  6 525.417 0.00000 -3.21193e-14
  7 525.417 0.00000 1.05352e-13
  8 525.417 0.00000 1.03673e-13
  9 525.417 0.00000 -3.94775e-14
  10 525.417 0.00000 1.68956e-15
  11 525.417 0.00000 1.75690e-13
  12 525.417 0.00000 2.49787e-13
</Section>

newXOutput 23

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 550.572 0.00000 -1.81993e-15
  2 550.572 0.00000 1.29046e-15
  3 550.572 0.00000 -9.64743e-15
  4 550.572 0.00000 -1.87145e-15
  5 550.572 0.00000 -6.95807e-15
  6 550.572 0.00000 4.70590e-15
  7 550.572 0.00000 -8.44249e-14
  8 550.572 0.00000 -8.26263e-14
  9 550.572 0.00000 -6.21304e-14
  10 550.572 0.00000 -7.76363e-14
  11 550.572 0.00000 -4.81015e-14
  12 550.572 0.00000 -1.88559e-13
</Section>

newXOutput 24

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 575.739 0.00000 3.19849e-13
  2 575.739 0.00000 3.36556e-13
  3 575.739 0.00000 -2.60756e-13
  4 575.739 0.00000 -2.55275e-13
  5 575.739 0.00000 1.83521e-13
  6 575.739 0.00000 1.57042e-13
  7 575.739 0.00000 2.92485e-14
  8 575.739 0.00000 2.48772e-14
  9 575.739 0.00000 -1.73206e-14
  10 575.739 0.00000 4.29656e-14
  11 575.739 0.00000 -7.92115e-14
  12 575.739 0.00000 -4.51557e-14
</Section>

newXOutput 25

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 600.918 0.00000 4.22655e-14
  2 600.918 0.00000 5.00656e-14
  3 600.918 0.00000 -2.78600e-13
  4 600.918 0.00000 -2.73920e-13
  5 600.918 0.00000 1.72423e-13
  6 600.918 0.00000 1.64147e-13
  7 600.918 0.00000 8.48604e-14
  8 600.918 0.00000 7.25939e-14
  9 600.918 0.00000 -9.74661e-14
  10 600.918 0.00000 -1.07398e-13
  11 600.918 0.00000 1.25634e-13
  12 600.918 0.00000 1.05332e-13
</Section>

newXOutput 26

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 626.110 0.00000 8.94017e-14
  2 626.110 0.00000 8.59447e-14
  3 626.110 0.00000 -1.10186e-13
  4 626.110 0.00000 -1.16427e-13
  5 626.110 0.00000 2.05854e-13
  6 626.110 0.00000 2.01948e-13
  7 626.110 0.00000 7.63976e-14
  8 626.110 0.00000 6.76383e-14
  9 626.110 0.00000 2.83549e-14
  10 626.110 0.00000 5.23820e-14
  11 626.110 0.00000 4.80596e-14
  12 626.110 0.00000 4.62797e-14
</Section>

newXOutput 27

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 651.314 0.00000 5.47631e-14
  2 651.314 0.00000 6.13449e-14
  3 651.314 0.00000 -1.31428e-13
  4 651.314 0.00000 -1.19719e-13
  5 651.314 0.00000 1.20751e-14
  6 651.314 0.00000 6.90880e-15
  7 651.314 0.00000 -2.43221e-14
  8 651.314 0.00000 -3.62059e-14
  9 651.314 0.00000 -1.26321e-13
  10 651.314 0.00000 -1.04656e-13
  11 651.314 0.00000 -7.56477e-14
  12 651.314 0.00000 -8.36923e-14
</Section>

newXOutput 28

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 676.531 0.00000 1.21302e-13
  2 676.531 0.00000 1.15057e-13
  3 676.531 0.00000 -2.08298e-14
  4 676.531 0.00000 -1.75386e-14
  5 676.531 0.00000 1.17105e-13
  6 676.531 0.00000 1.11934e-13
  7 676.531 0.00000 6.57479e-14
  8 676.531 0.00000 5.30768e-14
  9 676.531 0.00000 4.37750e-15
  10 676.531 0.00000 -9.83772e-15
  11 676.531 0.00000 -3.52959e-14
  12 676.531 0.00000 -6.49807e-14
</Section>

newXOutput 29

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 701.760 0.00000 -2.27380e-13
  2 701.760 0.00000 -2.27380e-13
  3 701.760 0.00000 1.53082e-13
  4 701.760 0.00000 1.81335e-13
  5 701.760 0.00000 -1.90802e-13
  6 701.760 0.00000 -1.91270e-13
  7 701.760 0.00000 3.03166e-14
  8 701.760 0.00000 -6.68837e-15
  9 701.760 0.00000 -4.42669e-14
  10 701.760 0.00000 -1.04549e-14
  11 701.760 0.00000 -8.94100e-14
  12 701.760 0.00000 1.62781e-15
</Section>

newXOutput 30

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 727.002 0.00000 2.34812e-13
  2 727.002 0.00000 2.63066e-13
  3 727.002 0.00000 -4.13333e-14
  4 727.002 0.00000 -2.65590e-14
  5 727.002 0.00000 5.02435e-16
  6 727.002 0.00000 -6.25202e-15
  7 727.002 0.00000 -4.11115e-14
  8 727.002 0.00000 -5.30063e-14
  9 727.002 0.00000 -7.34626e-14
  10 727.002 0.00000 -9.37623e-14
  11 727.002 0.00000 9.96072e-14
  12 727.002 0.00000 2.98441e-15
</Section>

newXOutput 31

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 752.256 0.00000 7.60105e-14
  2 752.256 0.00000 8.70315e-14
  3 752.256 0.00000 -1.11729e-13
  4 752.256 0.00000 -9.99203e-14
  5 752.256 0.00000 -5.47295e-14
  6 752.256 0.00000 -5.51941e-14
  7 752.256 0.00000 1.81606e-15
  8 752.256 0.00000 -1.00823e-14
  9 752.256 0.00000 -3.19507e-14
  10 752.256 0.00000 -7.55179e-14
  11 752.256 0.00000 -4.45409e-14
  12 752.256 0.00000 -5.98457e-14
</Section>

newXOutput 32

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 777.523 0.00000 6.02730e-14
  2 777.523 0.00000 7.60413e-14
  3 777.523 0.00000 -5.96897e-14
  4 777.523 0.00000 -4.54983e-14
