bulk inclusion interface arclen 
-398.178 0.00000 0.00000 20.8263 
-409.156 0.00000 0.00000 22.1688 
-418.481 0.00000 0.00000 23.7652 
-425.386 0.00000 0.00000 25.6638 
-429.116 0.00000 0.00000 27.9215 
-432.393 0.00000 0.00000 30.1793 
-436.529 0.00000 0.00000 30.6622 
-441.346 0.00000 0.00000 31.1452 
-446.923 0.00000 0.00000 31.7195 
-453.134 0.00000 0.00000 32.2024 
-460.206 0.00000 0.00000 32.8854 
-468.289 0.00000 0.00000 33.5684 
-476.772 0.00000 0.00000 34.2513 
-485.676 0.00000 0.00000 35.2172 
-495.440 0.00000 0.00000 36.1831 
-506.236 0.00000 0.00000 36.9953 
-517.447 0.00000 0.00000 38.1439 
-528.759 0.00000 0.00000 39.5098 
-541.016 0.00000 0.00000 40.8758 
-553.009 0.00000 0.00000 42.5002 
-563.918 0.00000 0.00000 44.4319 
-572.281 0.00000 0.00000 46.7291 
-579.665 0.00000 0.00000 49.0264 
-587.947 0.00000 0.00000 50.9581 
-595.399 0.00000 0.00000 53.2554 
-603.148 0.00000 0.00000 55.9872 
-611.008 0.00000 0.00000 59.2360 
-619.988 0.00000 0.00000 61.3609 
-628.571 0.00000 0.00000 62.7508 
-637.974 0.00000 0.00000 63.5772 
-647.052 0.00000 0.00000 64.7459 
-655.513 0.00000 0.00000 66.3987 
-664.373 0.00000 0.00000 68.3642 
-673.775 0.00000 0.00000 70.3297 
-682.394 0.00000 0.00000 72.6671 
-692.091 0.00000 0.00000 75.0045 
-700.821 0.00000 0.00000 77.7841 
-707.506 0.00000 0.00000 80.5638 
-712.764 0.00000 0.00000 83.8694 
-721.061 0.00000 0.00000 85.6875 
-729.720 0.00000 0.00000 86.9730 
-738.568 0.00000 0.00000 88.5018 
-746.807 0.00000 0.00000 90.0307 
-755.637 0.00000 0.00000 91.5595 
-764.291 0.00000 0.00000 93.3775 
-773.438 0.00000 0.00000 95.1956 
-783.210 0.00000 0.00000 97.0137 
-792.633 0.00000 0.00000 99.1758 
-802.165 0.00000 0.00000 101.747 
-811.317 0.00000 0.00000 104.318 
-820.356 0.00000 0.00000 106.889 
-827.414 0.00000 0.00000 109.947 
-834.858 0.00000 0.00000 113.004 
-843.365 0.00000 0.00000 115.576 
-851.710 0.00000 0.00000 118.633 
-859.335 0.00000 0.00000 121.691 
-864.276 0.00000 0.00000 125.327 
-871.362 0.00000 0.00000 128.385 
